row_index,WTUR.TmHvElt.actTmVal
1392,49639.88
1393,49639.88
1394,49639.88
1395,49639.89
1396,49639.89
1397,49639.89
1398,49639.89
1399,49639.89
1400,49639.9
1401,49639.9
1402,49639.9
1403,49639.9
1404,49639.9
1405,49639.91
1406,49639.91
1407,49639.91
1408,49639.91
1409,49639.91
1410,49639.92
1411,49639.92
1412,49639.92
1413,49639.92
1414,49639.92
1415,49639.93
1416,49639.93
1417,49639.93
1418,49639.93
1419,49639.93
1420,49639.94
1421,49639.94
1422,49639.94
1423,49639.94
1424,49639.94
1425,49639.95
1426,49639.95
1427,49639.95
1428,49639.95
1429,49639.95
1430,49639.96
1431,49639.96
1432,49639.96
1433,49639.96
1434,49639.96
1435,49639.97
1436,49639.97
1437,49639.97
1438,49639.97
1439,49639.97
1440,49639.98
1441,49639.98
1442,49639.98
1443,49639.98
1444,49639.98
1445,49639.99
1446,49639.99
1447,49639.99
1448,49639.99
1449,49639.99
1450,49640.0
1451,49640.0
1452,49640.0
1453,49640.0
1454,49640.0
1455,49640.01
1456,49640.01
1457,49640.01
1458,49640.01
1459,49640.01
1460,49640.02
1461,49640.02
1462,49640.02
1463,49640.02
1464,49640.02
1465,49640.03
1466,49640.03
1467,49640.03
1468,49640.03
1469,49640.03
1470,49640.04
1471,49640.04
1472,49640.04
1473,49640.04
1474,49640.04
1475,49640.05
1476,49640.05
1477,49640.05
1478,49640.05
1479,49640.05
1480,49640.06
1481,49640.06
1482,49640.06
1483,49640.06
1484,49640.06
1485,49640.07
1486,49640.07
1487,49640.07
1488,49640.07
1489,49640.07
1490,49640.08
1491,49640.08
1492,49640.08
1493,49640.08
1494,49640.08
1495,49640.09
1496,49640.09
1497,49640.09
1498,49640.09
1499,49640.09
1500,49640.1
1501,49640.1
1502,49640.1
1503,49640.1
1504,49640.1
1505,49640.11
1506,49640.11
1507,49640.11
1508,49640.11
1509,49640.11
1510,49640.12
1511,49640.12
1512,49640.12
1513,49640.12
1514,49640.12
1515,49640.12
1516,49640.13
1517,49640.13
1518,49640.13
1519,49640.13
1520,49640.13
1521,49640.14
1522,49640.14
1523,49640.14
1524,49640.14
1525,49640.14
1526,49640.15
1527,49640.15
1528,49640.15
1529,49640.15
1530,49640.15
1531,49640.16
1532,49640.16
1533,49640.16
1534,49640.16
1535,49640.16
1536,49640.17
1537,49640.17
1538,49640.17
1539,49640.17
1540,49640.17
1541,49640.18
1542,49640.18
1543,49640.18
1544,49640.18
1545,49640.18
1546,49640.19
1547,49640.19
1548,49640.19
1549,49640.19
1550,49640.19
1551,49640.2
1552,49640.2
1553,49640.2
1554,49640.2
1555,49640.2
1556,49640.21
1557,49640.21
1558,49640.21
1559,49640.21
1560,49640.21
1561,49640.22
1562,49640.22
1563,49640.22
1564,49640.22
1565,49640.22
1566,49640.23
1567,49640.23
1568,49640.23
1569,49640.23
1570,49640.23
1571,49640.24
1572,49640.24
1573,49640.24
1574,49640.24
1575,49640.24
1576,49640.25
1577,49640.25
1578,49640.25
1579,49640.25
1580,49640.25
1581,49640.26
1582,49640.26
1583,49640.26
1584,49640.26
1585,49640.26
1586,49640.27
1587,49640.27
1588,49640.27
1589,49640.27
1590,49640.27
1591,49640.28
1592,49640.28
1593,49640.28
1594,49640.28
1595,49640.28
1596,49640.29
1597,49640.29
1598,49640.29
1599,49640.29
1600,49640.29
1601,49640.29
1602,49640.3
1603,49640.3
1604,49640.3
1605,49640.3
1606,49640.3
1607,49640.31
1608,49640.31
1609,49640.31
1610,49640.31
1611,49640.31
1612,49640.32
1613,49640.32
1614,49640.32
1615,49640.32
1616,49640.32
1617,49640.33
1618,49640.33
1619,49640.33
1620,49640.33
1621,49640.33
1622,49640.34
1623,49640.34
1624,49640.34
1625,49640.34
1626,49640.34
1627,49640.35
1628,49640.35
1629,49640.35
1630,49640.35
1631,49640.35
1632,49640.36
1633,49640.36
1634,49640.36
1635,49640.36
1636,49640.36
1637,49640.37
1638,49640.37
1639,49640.37
1640,49640.37
1641,49640.37
1642,49640.38
1643,49640.38
1644,49640.38
1645,49640.38
1646,49640.38
1647,49640.39
1648,49640.39
1649,49640.39
1650,49640.39
1651,49640.4
1652,49640.4
1653,49640.4
1654,49640.4
1655,49640.4
1656,49640.41
1657,49640.41
1658,49640.41
1659,49640.41
1660,49640.41
1661,49640.42
1662,49640.42
1663,49640.42
1664,49640.42
1665,49640.42
1666,49640.43
1667,49640.43
1668,49640.43
1669,49640.43
1670,49640.43
1671,49640.44
1672,49640.44
1673,49640.44
1674,49640.44
1675,49640.44
1676,49640.45
1677,49640.45
1678,49640.45
1679,49640.45
1680,49640.45
1681,49640.45
1682,49640.46
1683,49640.46
1684,49640.46
1685,49640.46
1686,49640.46
1687,49640.46
1688,49640.47
1689,49640.47
1690,49640.47
1691,49640.47
1692,49640.47
1693,49640.48
1694,49640.48
1695,49640.48
1696,49640.48
1697,49640.48
1698,49640.49
1699,49640.49
1700,49640.49
1701,49640.49
1702,49640.49
1703,49640.5
1704,49640.5
1705,49640.5
1706,49640.5
1707,49640.5
1708,49640.51
1709,49640.51
1710,49640.51
1711,49640.51
1712,49640.51
1713,49640.52
1714,49640.52
1715,49640.52
1716,49640.52
1717,49640.52
1718,49640.53
1719,49640.53
1720,49640.53
1721,49640.53
1722,49640.53
1723,49640.54
1724,49640.54
1725,49640.54
1726,49640.54
1727,49640.54
1728,49640.55
1729,49640.55
1730,49640.55
1731,49640.55
1732,49640.55
1733,49640.56
1734,49640.56
1735,49640.56
1736,49640.56
1737,49640.56
1738,49640.57
1739,49640.57
1740,49640.57
1741,49640.57
1742,49640.57
1743,49640.58
1744,49640.58
1745,49640.58
1746,49640.58
1747,49640.58
1748,49640.59
1749,49640.59
1750,49640.59
1751,49640.59
1752,49640.59
1753,49640.6
1754,49640.6
1755,49640.6
1756,49640.6
1757,49640.6
1758,49640.61
1759,49640.61
1760,49640.61
1761,49640.61
1762,49640.61
1763,49640.62
1764,49640.62
1765,49640.62
1766,49640.62
1767,49640.62
1768,49640.62
1769,49640.63
1770,49640.63
1771,49640.63
1772,49640.63
1773,49640.64
1774,49640.64
1775,49640.64
1776,49640.64
1777,49640.64
1778,49640.65
1779,49640.65
1780,49640.65
1781,49640.65
1782,49640.65
1783,49640.66
1784,49640.66
1785,49640.66
1786,49640.66
1787,49640.66
1788,49640.67
1789,49640.67
1790,49640.67
1791,49640.67
1792,49640.67
1793,49640.68
1794,49640.68
1795,49640.68
1796,49640.68
1797,49640.68
1798,49640.69
1799,49640.69
1800,49640.69
1801,49640.69
1802,49640.69
1803,49640.7
1804,49640.7
1805,49640.7
1806,49640.7
1807,49640.7
1808,49640.71
1809,49640.71
1810,49640.71
1811,49640.71
1812,49640.71
1813,49640.72
1814,49640.72
1815,49640.72
1816,49640.72
1817,49640.72
1818,49640.73
1819,49640.73
1820,49640.73
1821,49640.73
1822,49640.73
1823,49640.74
1824,49640.74
1825,49640.74
1826,49640.74
1827,49640.74
1828,49640.75
1829,49640.75
1830,49640.75
1831,49640.75
1832,49640.75
1833,49640.76
1834,49640.76
1835,49640.76
1836,49640.76
1837,49640.76
1838,49640.77
1839,49640.77
1840,49640.77
1841,49640.77
1842,49640.77
1843,49640.78
1844,49640.78
1845,49640.78
1846,49640.78
1847,49640.78
1848,49640.79
1849,49640.79
1850,49640.79
1851,49640.79
1852,49640.79
1853,49640.79
1854,49640.8
1855,49640.8
1856,49640.8
1857,49640.8
1858,49640.8
