row_index,WROT.PtTurnOnTmp.Bl3
1857,4.3
1858,4.19
1859,4.19
1860,4.19
1861,4.19
1862,4.19
1863,4.19
1864,4.3
1865,4.19
1866,4.19
1867,4.19
1868,4.19
1869,4.19
1870,4.19
1871,4.19
1872,4.19
1873,4.19
1874,4.19
1875,4.19
1876,4.19
1877,4.19
1878,4.19
1879,4.19
1880,4.19
1881,4.19
1882,4.19
1883,4.19
1884,4.19
1885,4.19
1886,4.19
1887,4.19
1888,4.19
1889,4.19
1890,4.19
1891,4.19
1892,4.19
1893,4.19
1894,4.19
1895,4.19
1896,4.19
1897,4.19
1898,4.19
1899,4.19
1900,4.19
1901,4.19
1902,4.19
1903,4.19
1904,4.19
1905,4.19
1906,4.19
1907,4.19
1908,4.19
1909,4.19
1910,4.19
1911,4.19
1912,4.19
1913,4.19
1914,4.19
1915,4.19
1916,4.19
1917,4.19
1918,4.19
1919,4.19
1920,4.19
1921,4.19
1922,4.19
1923,4.19
1924,4.19
1925,4.19
1926,4.19
1927,4.19
1928,4.19
1929,4.19
1930,4.19
1931,4.19
1932,4.19
1933,4.19
1934,4.19
1935,4.19
1936,4.19
1937,4.19
1938,4.19
1939,4.19
1940,4.19
1941,4.19
1942,4.19
1943,4.19
1944,4.19
1945,4.19
1946,4.19
1947,4.19
1948,4.19
1949,4.19
1950,4.19
1951,4.19
1952,4.19
1953,4.19
1954,4.19
1955,4.19
1956,4.19
1957,4.19
1958,4.19
1959,4.19
1960,4.19
1961,4.19
1962,4.19
1963,4.19
1964,4.19
1965,4.19
1966,4.19
1967,4.19
1968,4.19
1969,4.19
1970,4.19
1971,4.19
1972,4.19
1973,4.19
1974,4.19
1975,4.19
1976,4.19
1977,4.19
1978,4.19
1979,4.19
1980,4.19
1981,4.19
1982,4.19
1983,4.19
1984,4.19
1985,4.19
1986,4.19
1987,4.19
1988,4.19
1989,4.19
1990,4.19
1991,4.19
1992,4.19
1993,4.19
1994,4.19
1995,4.3
1996,4.19
1997,4.3
1998,4.3
1999,4.3
2000,4.3
2001,4.3
2002,4.3
2003,4.3
2004,4.3
2005,4.3
2006,4.3
2007,4.3
2008,4.3
2009,4.3
2010,4.3
2011,4.3
2012,4.3
2013,4.3
2014,4.3
2015,4.3
2016,4.3
2017,4.3
2018,4.3
2019,4.3
2020,4.3
2021,4.3
2022,4.3
2023,4.3
2024,4.3
2025,4.3
2026,4.3
2027,4.3
