row_index,WGEN.TotPwr.InstMag.i
1613,22876109.0
1614,22876109.0
1615,22876110.0
1616,22876111.0
1617,22876111.0
1618,22876112.0
1619,22876112.0
1620,22876113.0
1621,22876113.0
1622,22876114.0
1623,22876114.0
1624,22876115.0
1625,22876115.0
1626,22876116.0
1627,22876116.0
1628,22876117.0
1629,22876117.0
1630,22876117.0
1631,22876118.0
1632,22876118.0
1633,22876119.0
1634,22876119.0
1635,22876120.0
1636,22876120.0
1637,22876121.0
1638,22876121.0
1639,22876121.0
1640,22876122.0
1641,22876122.0
1642,22876123.0
1643,22876123.0
1644,22876123.0
1645,22876124.0
1646,22876124.0
1647,22876125.0
1648,22876125.0
1649,22876125.0
1650,22876126.0
1651,22876126.0
