source_file,page_num,flags,accepted,reason,original_score,best_score,original_avg_confidence,chosen_avg_confidence,original_char_count,chosen_char_count,candidate_count,elapsed_s
"燃气蒸汽轮机动力装置热工基础 (清华大学燃气轮机教研组) (z-library.sk, 1lib.sk, z-lib.sk).pdf",411,版面顺序high,True,quality_improved,122.5952,144.3242,0.5434,0.7663,4441,9523,2,4.446
"燃气蒸汽轮机动力装置热工基础 (清华大学燃气轮机教研组) (z-library.sk, 1lib.sk, z-lib.sk).pdf",413,版面顺序high,False,quality_not_improved_enough,84.8843,84.8843,0.4553,0.4553,498,498,2,4.357
"燃气蒸汽轮机动力装置热工基础 (清华大学燃气轮机教研组) (z-library.sk, 1lib.sk, z-lib.sk).pdf",5,版面顺序medium,False,quality_not_improved_enough,84.9838,86.2478,0.6178,0.6178,256,256,2,3.79
"燃气蒸汽轮机动力装置热工基础 (清华大学燃气轮机教研组) (z-library.sk, 1lib.sk, z-lib.sk).pdf",7,版面顺序medium,False,quality_not_improved_enough,73.8755,79.7306,0.4951,0.4951,365,365,2,4.781
"燃气蒸汽轮机动力装置热工基础 (清华大学燃气轮机教研组) (z-library.sk, 1lib.sk, z-lib.sk).pdf",67,版面顺序medium,False,quality_not_improved_enough,72.0809,73.6274,0.4582,0.4582,420,420,2,4.268
"燃气蒸汽轮机动力装置热工基础 (清华大学燃气轮机教研组) (z-library.sk, 1lib.sk, z-lib.sk).pdf",69,版面顺序medium,True,quality_improved,83.1837,124.5345,0.5623,0.559,269,2253,2,5.066
"燃气蒸汽轮机动力装置热工基础 (清华大学燃气轮机教研组) (z-library.sk, 1lib.sk, z-lib.sk).pdf",75,版面顺序medium,True,quality_improved,84.3087,95.4174,0.4801,0.5413,432,551,2,6.121
"燃气蒸汽轮机动力装置热工基础 (清华大学燃气轮机教研组) (z-library.sk, 1lib.sk, z-lib.sk).pdf",119,版面顺序medium,False,quality_not_improved_enough,82.1593,83.318,0.4601,0.4601,508,508,2,5.27
"燃气蒸汽轮机动力装置热工基础 (清华大学燃气轮机教研组) (z-library.sk, 1lib.sk, z-lib.sk).pdf",133,版面顺序medium,True,quality_improved,89.6633,114.1415,0.5253,0.4667,440,10112,2,5.164
"燃气蒸汽轮机动力装置热工基础 (清华大学燃气轮机教研组) (z-library.sk, 1lib.sk, z-lib.sk).pdf",147,版面顺序medium,False,quality_not_improved_enough,90.2768,88.6064,0.587,0.587,338,338,2,4.198
"燃气蒸汽轮机动力装置热工基础 (清华大学燃气轮机教研组) (z-library.sk, 1lib.sk, z-lib.sk).pdf",149,版面顺序medium,False,quality_not_improved_enough,83.9425,90.3733,0.5123,0.5123,413,413,2,4.05
"燃气蒸汽轮机动力装置热工基础 (清华大学燃气轮机教研组) (z-library.sk, 1lib.sk, z-lib.sk).pdf",199,版面顺序medium,True,quality_improved,100.9076,130.4381,0.5865,0.6297,485,8241,2,4.586
"燃气蒸汽轮机动力装置热工基础 (清华大学燃气轮机教研组) (z-library.sk, 1lib.sk, z-lib.sk).pdf",225,版面顺序medium,False,quality_not_improved_enough,80.7468,72.4201,0.4757,0.4757,346,346,2,4.997
"燃气蒸汽轮机动力装置热工基础 (清华大学燃气轮机教研组) (z-library.sk, 1lib.sk, z-lib.sk).pdf",237,版面顺序medium,False,quality_not_improved_enough,73.0672,73.1338,0.4752,0.4752,398,398,2,4.417
"燃气蒸汽轮机动力装置热工基础 (清华大学燃气轮机教研组) (z-library.sk, 1lib.sk, z-lib.sk).pdf",259,版面顺序medium,False,quality_not_improved_enough,93.6841,96.6452,0.6197,0.6197,228,228,2,4.616
"燃气蒸汽轮机动力装置热工基础 (清华大学燃气轮机教研组) (z-library.sk, 1lib.sk, z-lib.sk).pdf",265,版面顺序medium,True,quality_improved,90.6347,117.1317,0.5359,0.6884,351,484,2,5.274
"燃气蒸汽轮机动力装置热工基础 (清华大学燃气轮机教研组) (z-library.sk, 1lib.sk, z-lib.sk).pdf",267,版面顺序medium,False,quality_not_improved_enough,106.2183,100.8155,0.6596,0.6596,354,354,2,6.247
"燃气蒸汽轮机动力装置热工基础 (清华大学燃气轮机教研组) (z-library.sk, 1lib.sk, z-lib.sk).pdf",277,版面顺序medium,True,quality_improved,91.8107,120.069,0.5687,0.5047,373,1888,2,5.793
"燃气蒸汽轮机动力装置热工基础 (清华大学燃气轮机教研组) (z-library.sk, 1lib.sk, z-lib.sk).pdf",307,版面顺序medium,True,quality_improved,98.255,108.6038,0.6275,0.6192,431,756,2,4.737
