row_index,WTUR.CTim.Wt.F32.WindLow
1461,5154.53
1462,5154.53
1463,5154.53
1464,5154.53
1465,5154.53
1466,5154.53
1467,5154.53
1468,5154.53
1469,5154.53
1470,5154.53
1471,5154.53
1472,5154.53
1473,5154.53
1474,5154.53
1475,5154.53
1476,5154.53
1477,5154.53
1478,5154.53
1479,5154.53
1480,5154.53
1481,5154.53
1482,5154.53
1483,5154.53
1484,5154.53
1485,5154.53
1486,5154.53
1487,5154.53
1488,5154.53
1489,5154.53
1490,5154.53
1491,5154.53
1492,5154.53
1493,5154.53
1494,5154.53
1495,5154.53
1496,5154.53
1497,5154.53
1498,5154.53
1499,5154.53
1500,5154.53
1501,5154.53
1502,5154.53
1503,5154.53
1504,5154.53
1505,5154.53
1506,5154.53
1507,5154.53
1508,5154.53
1509,5154.53
1510,5154.53
1511,5154.53
1512,5154.53
1513,5154.53
1514,5154.53
1515,5154.53
1516,5154.53
1517,5154.53
1518,5154.53
1519,5154.53
1520,5154.53
1521,5154.53
1522,5154.53
1523,5154.53
1524,5154.53
1525,5154.53
1526,5154.53
1527,5154.53
1528,5154.53
1529,5154.53
1530,5154.53
1531,5154.53
1532,5154.53
1533,5154.53
1534,5154.53
1535,5154.53
1536,5154.53
1537,5154.53
1538,5154.53
1539,5154.53
1540,5154.53
1541,5154.53
1542,5154.53
1543,5154.53
1544,5154.53
1545,5154.53
1546,5154.53
1547,5154.53
1548,5154.53
1549,5154.53
1550,5154.53
1551,5154.53
1552,5154.53
1553,5154.53
1554,5154.53
1555,5154.53
1556,5154.53
1557,5154.53
1558,5154.53
1559,5154.53
1560,5154.53
1561,5154.53
1562,5154.53
1563,5154.53
1564,5154.53
1565,5154.53
1566,5154.53
1567,5154.53
1568,5154.53
1569,5154.53
1570,5154.53
1571,5154.53
1572,5154.53
1573,5154.53
1574,5154.53
1575,5154.53
1576,5154.53
1577,5154.53
1578,5154.53
1579,5154.53
1580,5154.53
1581,5154.53
1582,5154.53
1583,5154.53
1584,5154.53
1585,5154.53
1586,5154.53
1587,5154.53
1588,5154.53
1589,5154.53
1590,5154.53
1591,5154.53
1592,5154.53
1593,5154.53
1594,5154.53
1595,5154.53
1596,5154.53
1597,5154.53
1598,5154.53
1599,5154.53
1600,5154.53
1601,5154.53
1602,5154.53
1603,5154.53
1604,5154.53
1605,5154.53
1606,5154.53
1607,5154.53
1608,5154.53
1609,5154.53
1610,5154.53
1611,5154.53
1612,5154.53
1613,5154.53
1614,5154.53
1615,5154.53
1616,5154.53
1617,5154.53
1618,5154.53
1619,5154.53
1620,5154.53
1621,5154.53
1622,5154.53
1623,5154.53
1624,5154.53
1625,5154.53
1626,5154.53
1627,5154.53
1628,5154.53
1629,5154.53
1630,5154.53
1631,5154.53
1632,5154.53
1633,5154.53
1634,5154.53
1635,5154.53
1636,5154.53
1637,5154.53
1638,5154.53
1639,5154.53
1640,5154.53
1641,5154.53
1642,5154.53
1643,5154.53
1644,5154.53
1645,5154.53
1646,5154.53
1647,5154.53
1648,5154.53
1649,5154.53
1650,5154.53
1651,5154.53
1652,5154.53
1653,5154.53
1654,5154.53
1655,5154.53
1656,5154.53
1657,5154.53
1658,5154.53
1659,5154.53
1660,5154.53
1661,5154.53
1662,5154.53
1663,5154.53
1664,5154.53
1665,5154.53
1666,5154.53
1667,5154.53
1668,5154.53
1669,5154.53
1670,5154.53
1671,5154.53
1672,5154.53
1673,5154.53
1674,5154.53
1675,5154.53
1676,5154.53
1677,5154.53
1678,5154.53
1679,5154.53
1680,5154.53
1681,5154.53
1682,5154.53
1683,5154.53
1684,5154.53
1685,5154.53
1686,5154.53
1687,5154.53
1688,5154.53
1689,5154.53
1690,5154.53
1691,5154.53
1692,5154.53
1693,5154.53
1694,5154.53
1695,5154.53
1696,5154.53
1697,5154.53
1698,5154.53
1699,5154.53
1700,5154.53
1701,5154.53
1702,5154.53
1703,5154.53
1704,5154.53
1705,5154.53
1706,5154.53
1707,5154.53
1708,5154.53
1709,5154.53
1710,5154.53
1711,5154.53
1712,5154.53
1713,5154.53
1714,5154.53
1715,5154.53
1716,5154.53
1717,5154.53
1718,5154.53
1719,5154.53
1720,5154.53
1721,5154.53
1722,5154.53
1723,5154.53
1724,5154.53
1725,5154.53
1726,5154.53
1727,5154.53
1728,5154.53
1729,5154.53
1730,5154.53
1731,5154.53
1732,5154.53
1733,5154.53
1734,5154.53
1735,5154.53
1736,5154.53
1737,5154.53
1738,5154.53
1739,5154.53
1740,5154.53
1741,5154.53
1742,5154.53
1743,5154.53
1744,5154.53
1745,5154.53
1746,5154.53
1747,5154.53
1748,5154.53
1749,5154.53
1750,5154.53
1751,5154.53
1752,5154.53
1753,5154.53
1754,5154.53
1755,5154.53
1756,5154.53
1757,5154.53
1758,5154.53
1759,5154.53
1760,5154.53
1761,5154.53
1762,5154.53
1763,5154.53
1764,5154.53
1765,5154.53
1766,5154.53
1767,5154.53
1768,5154.53
1769,5154.53
1770,5154.53
1771,5154.53
1772,5154.53
1773,5154.53
1774,5154.53
1775,5154.53
1776,5154.53
1777,5154.53
1778,5154.53
1779,5154.53
1780,5154.53
1781,5154.53
1782,5154.53
1783,5154.53
1784,5154.53
