row_index,WTUR.environment_notok
333,5359.53
334,5359.53
335,5359.53
336,5359.53
337,5359.53
338,5359.53
339,5359.53
340,5359.53
341,5359.53
342,5359.53
343,5359.53
344,5359.53
345,5359.53
346,5359.53
347,5359.53
348,5359.53
349,5359.53
350,5359.53
351,5359.53
352,5359.53
353,5359.53
354,5359.53
355,5359.53
356,5359.53
357,5359.53
358,5359.53
359,5359.53
360,5359.53
361,5359.53
362,5359.53
363,5359.53
364,5359.53
365,5359.53
366,5359.53
367,5359.53
368,5359.53
369,5359.53
370,5359.53
371,5359.53
372,5359.53
373,5359.53
374,5359.53
375,5359.53
376,5359.53
377,5359.53
378,5359.53
379,5359.53
380,5359.53
381,5359.53
382,5359.53
383,5359.53
384,5359.53
385,5359.53
386,5359.53
387,5359.53
388,5359.53
389,5359.53
390,5359.53
391,5359.53
392,5359.53
393,5359.53
394,5359.53
395,5359.53
396,5359.53
397,5359.53
398,5359.53
399,5359.53
400,5359.53
401,5359.53
402,5359.53
403,5359.53
404,5359.53
405,5359.53
406,5359.53
407,5359.53
408,5359.53
409,5359.53
410,5359.53
411,5359.53
412,5359.53
413,5359.53
414,5359.53
415,5359.53
416,5359.53
417,5359.53
418,5359.53
419,5359.53
420,5359.53
421,5359.53
422,5359.53
423,5359.53
424,5359.53
425,5359.53
426,5359.53
427,5359.53
428,5359.53
429,5359.53
430,5359.53
431,5359.53
432,5359.53
433,5359.53
434,5359.53
435,5359.53
436,5359.53
437,5359.53
438,5359.53
439,5359.53
440,5359.53
441,5359.53
442,5359.53
443,5359.53
444,5359.53
445,5359.53
446,5359.53
447,5359.53
448,5359.53
449,5359.53
450,5359.53
451,5359.53
452,5359.53
453,5359.53
454,5359.53
455,5359.53
456,5359.53
457,5359.53
458,5359.53
459,5359.53
460,5359.53
461,5359.53
462,5359.53
463,5359.53
464,5359.53
465,5359.53
466,5359.53
467,5359.53
468,5359.53
469,5359.53
470,5359.53
471,5359.53
472,5359.53
473,5359.53
474,5359.53
475,5359.53
476,5359.53
477,5359.53
478,5359.53
479,5359.53
480,5359.53
481,5359.53
482,5359.53
483,5359.53
484,5359.53
485,5359.53
486,5359.53
487,5359.53
488,5359.53
489,5359.53
490,5359.53
491,5359.53
492,5359.53
493,5359.53
494,5359.53
495,5359.53
496,5359.53
497,5359.53
498,5359.53
499,5359.53
500,5359.53
501,5359.53
502,5359.53
503,5359.53
504,5359.53
505,5359.53
506,5359.53
507,5359.53
508,5359.53
509,5359.53
510,5359.53
511,5359.53
512,5359.53
513,5359.53
514,5359.53
515,5359.53
516,5359.53
517,5359.53
518,5359.53
519,5359.53
520,5359.53
521,5359.53
522,5359.53
523,5359.53
524,5359.53
525,5359.53
526,5359.53
527,5359.53
528,5359.53
529,5359.53
530,5359.53
531,5359.53
532,5359.53
533,5359.53
534,5359.53
535,5359.53
536,5359.53
537,5359.53
538,5359.53
539,5359.53
540,5359.53
541,5359.53
542,5359.53
543,5359.53
544,5359.53
545,5359.53
546,5359.53
547,5359.53
548,5359.53
549,5359.53
550,5359.53
551,5359.53
552,5359.53
553,5359.53
554,5359.53
555,5359.53
556,5359.53
557,5359.53
558,5359.53
559,5359.53
560,5359.53
561,5359.53
562,5359.53
563,5359.53
564,5359.53
565,5359.53
566,5359.53
567,5359.53
568,5359.53
569,5359.53
570,5359.53
571,5359.53
572,5359.53
573,5359.53
574,5359.53
575,5359.53
576,5359.53
577,5359.53
578,5359.53
579,5359.53
580,5359.53
581,5359.53
582,5359.53
583,5359.53
