row_index,WMAN.InitFileVersion
737,sinoma42.2_v20150728
738,sinoma42.2_v20150728
739,sinoma42.2_v20150728
740,sinoma42.2_v20150728
741,sinoma42.2_v20150728
742,sinoma42.2_v20150728
743,sinoma42.2_v20150728
744,sinoma42.2_v20150728
745,sinoma42.2_v20150728
746,sinoma42.2_v20150728
747,sinoma42.2_v20150728
748,sinoma42.2_v20150728
749,sinoma42.2_v20150728
750,sinoma42.2_v20150728
751,sinoma42.2_v20150728
752,sinoma42.2_v20150728
753,sinoma42.2_v20150728
754,sinoma42.2_v20150728
755,sinoma42.2_v20150728
756,sinoma42.2_v20150728
757,sinoma42.2_v20150728
758,sinoma42.2_v20150728
759,sinoma42.2_v20150728
760,sinoma42.2_v20150728
761,sinoma42.2_v20150728
762,sinoma42.2_v20150728
763,sinoma42.2_v20150728
764,sinoma42.2_v20150728
765,sinoma42.2_v20150728
766,sinoma42.2_v20150728
767,sinoma42.2_v20150728
768,sinoma42.2_v20150728
769,sinoma42.2_v20150728
770,sinoma42.2_v20150728
771,sinoma42.2_v20150728
772,sinoma42.2_v20150728
773,sinoma42.2_v20150728
774,sinoma42.2_v20150728
775,sinoma42.2_v20150728
776,sinoma42.2_v20150728
777,sinoma42.2_v20150728
778,sinoma42.2_v20150728
779,sinoma42.2_v20150728
780,sinoma42.2_v20150728
781,sinoma42.2_v20150728
782,sinoma42.2_v20150728
783,sinoma42.2_v20150728
784,sinoma42.2_v20150728
785,sinoma42.2_v20150728
786,sinoma42.2_v20150728
787,sinoma42.2_v20150728
788,sinoma42.2_v20150728
789,sinoma42.2_v20150728
790,sinoma42.2_v20150728
791,sinoma42.2_v20150728
792,sinoma42.2_v20150728
793,sinoma42.2_v20150728
794,sinoma42.2_v20150728
795,sinoma42.2_v20150728
796,sinoma42.2_v20150728
797,sinoma42.2_v20150728
798,sinoma42.2_v20150728
799,sinoma42.2_v20150728
800,sinoma42.2_v20150728
801,sinoma42.2_v20150728
802,sinoma42.2_v20150728
803,sinoma42.2_v20150728
804,sinoma42.2_v20150728
805,sinoma42.2_v20150728
806,sinoma42.2_v20150728
807,sinoma42.2_v20150728
808,sinoma42.2_v20150728
809,sinoma42.2_v20150728
810,sinoma42.2_v20150728
811,sinoma42.2_v20150728
812,sinoma42.2_v20150728
813,sinoma42.2_v20150728
814,sinoma42.2_v20150728
815,sinoma42.2_v20150728
816,sinoma42.2_v20150728
817,sinoma42.2_v20150728
818,sinoma42.2_v20150728
819,sinoma42.2_v20150728
820,sinoma42.2_v20150728
821,sinoma42.2_v20150728
822,sinoma42.2_v20150728
823,sinoma42.2_v20150728
824,sinoma42.2_v20150728
825,sinoma42.2_v20150728
826,sinoma42.2_v20150728
827,sinoma42.2_v20150728
828,sinoma42.2_v20150728
829,sinoma42.2_v20150728
830,sinoma42.2_v20150728
831,sinoma42.2_v20150728
832,sinoma42.2_v20150728
833,sinoma42.2_v20150728
834,sinoma42.2_v20150728
835,sinoma42.2_v20150728
836,sinoma42.2_v20150728
837,sinoma42.2_v20150728
838,sinoma42.2_v20150728
839,sinoma42.2_v20150728
840,sinoma42.2_v20150728
841,sinoma42.2_v20150728
842,sinoma42.2_v20150728
843,sinoma42.2_v20150728
844,sinoma42.2_v20150728
845,sinoma42.2_v20150728
846,sinoma42.2_v20150728
847,sinoma42.2_v20150728
848,sinoma42.2_v20150728
849,sinoma42.2_v20150728
850,sinoma42.2_v20150728
851,sinoma42.2_v20150728
852,sinoma42.2_v20150728
853,sinoma42.2_v20150728
854,sinoma42.2_v20150728
855,sinoma42.2_v20150728
856,sinoma42.2_v20150728
857,sinoma42.2_v20150728
858,sinoma42.2_v20150728
859,sinoma42.2_v20150728
860,sinoma42.2_v20150728
861,sinoma42.2_v20150728
862,sinoma42.2_v20150728
863,sinoma42.2_v20150728
864,sinoma42.2_v20150728
865,sinoma42.2_v20150728
866,sinoma42.2_v20150728
867,sinoma42.2_v20150728
868,sinoma42.2_v20150728
869,sinoma42.2_v20150728
870,sinoma42.2_v20150728
871,sinoma42.2_v20150728
872,sinoma42.2_v20150728
873,sinoma42.2_v20150728
874,sinoma42.2_v20150728
875,sinoma42.2_v20150728
876,sinoma42.2_v20150728
877,sinoma42.2_v20150728
878,sinoma42.2_v20150728
879,sinoma42.2_v20150728
880,sinoma42.2_v20150728
881,sinoma42.2_v20150728
882,sinoma42.2_v20150728
883,sinoma42.2_v20150728
884,sinoma42.2_v20150728
885,sinoma42.2_v20150728
886,sinoma42.2_v20150728
887,sinoma42.2_v20150728
