row_index,WGEN.PwrEpd.InstMag.i
424,28326.0
425,28326.0
426,28326.0
427,28326.0
428,28326.0
429,28326.0
430,28326.0
431,28326.0
432,28326.0
433,28326.0
434,28326.0
435,28326.0
436,28326.0
437,28326.0
438,28326.0
439,28326.0
440,28326.0
441,28326.0
442,28326.0
443,28326.0
444,28326.0
445,28326.0
446,28326.0
447,28326.0
448,28326.0
449,28326.0
450,28326.0
451,28326.0
452,28326.0
453,28326.0
454,28326.0
455,28326.0
456,28326.0
457,28326.0
458,28326.0
459,28326.0
460,28326.0
461,28326.0
462,28326.0
463,28326.0
464,28326.0
465,28326.0
466,28326.0
467,28326.0
468,28326.0
469,28326.0
470,28326.0
471,28326.0
472,28326.0
473,28326.0
474,28326.0
475,28326.0
476,28326.0
477,28326.0
478,28326.0
479,28326.0
480,28326.0
481,28326.0
482,28326.0
483,28326.0
484,28326.0
485,28326.0
486,28326.0
487,28326.0
488,28326.0
489,28326.0
490,28326.0
491,28326.0
492,28326.0
493,28326.0
494,28326.0
495,28326.0
496,28326.0
497,28326.0
498,28326.0
499,28326.0
500,28326.0
501,28326.0
502,28326.0
503,28326.0
504,28326.0
505,28326.0
506,28326.0
507,28326.0
508,28326.0
509,28326.0
510,28326.0
511,28326.0
512,28326.0
513,28326.0
514,28326.0
515,28326.0
516,28326.0
517,28326.0
518,28326.0
519,28326.0
520,28326.0
521,28326.0
522,28326.0
523,28326.0
524,28326.0
525,28326.0
526,28326.0
527,28326.0
528,28326.0
529,28326.0
530,28326.0
531,28326.0
532,28326.0
533,28326.0
534,28326.0
535,28326.0
536,28326.0
537,28326.0
538,28326.0
539,28326.0
540,28326.0
541,28326.0
542,28326.0
543,28326.0
544,28326.0
545,28326.0
546,28326.0
547,28326.0
548,28326.0
549,28326.0
550,28326.0
551,28326.0
552,28326.0
553,28326.0
554,28326.0
555,28326.0
556,28326.0
557,28326.0
558,28326.0
559,28326.0
560,28326.0
561,28326.0
562,28326.0
563,28326.0
564,28326.0
565,28326.0
566,28326.0
567,28326.0
568,28326.0
569,28326.0
570,28326.0
571,28326.0
572,28326.0
573,28326.0
574,28326.0
575,28326.0
576,28326.0
577,28326.0
578,28326.0
579,28326.0
580,28326.0
581,28326.0
582,28326.0
583,28326.0
584,28326.0
585,28326.0
586,28326.0
587,28326.0
588,28326.0
589,28326.0
590,28326.0
591,28326.0
592,28326.0
593,28326.0
594,28326.0
595,28326.0
596,28326.0
597,28326.0
598,28326.0
599,28326.0
600,28326.0
601,28326.0
602,28326.0
603,28326.0
604,28326.0
605,28326.0
606,28326.0
607,28326.0
608,28326.0
609,28326.0
610,28326.0
611,28326.0
612,28326.0
613,28326.0
614,28326.0
615,28326.0
616,28326.0
617,28326.0
618,28326.0
619,28326.0
620,28326.0
621,28326.0
622,28326.0
623,28326.0
624,28326.0
625,28326.0
626,28326.0
627,28326.0
628,28326.0
629,28326.0
630,28326.0
631,28326.0
632,28326.0
633,28326.0
634,28326.0
635,28326.0
636,28326.0
637,28326.0
638,28326.0
639,28326.0
640,28326.0
641,28326.0
642,28326.0
643,28326.0
644,28326.0
645,28326.0
646,28326.0
647,28326.0
648,28326.0
649,28326.0
650,28326.0
651,28326.0
652,28326.0
653,28326.0
654,28326.0
655,28326.0
656,28326.0
657,28326.0
658,28326.0
659,28326.0
660,28326.0
661,28326.0
662,28326.0
663,28326.0
664,28326.0
665,28326.0
666,28326.0
667,28326.0
668,28326.0
669,28326.0
670,28326.0
671,28326.0
672,28326.0
673,28326.0
674,28326.0
675,28326.0
676,28326.0
677,28326.0
678,28326.0
679,28326.0
680,28326.0
681,28326.0
682,28326.0
683,28326.0
684,28326.0
685,28326.0
686,28326.0
687,28326.0
688,28326.0
689,28326.0
690,28326.0
691,28326.0
692,28326.0
693,28326.0
694,28326.0
695,28326.0
696,28326.0
697,28326.0
698,28326.0
699,28326.0
700,28326.0
701,28326.0
702,28326.0
703,28326.0
