row_index,WTUR.environment_ok_h
487,44278.55
488,44278.55
489,44278.55
490,44278.55
491,44278.55
492,44278.55
493,44278.56
494,44278.56
495,44278.56
496,44278.56
497,44278.57
498,44278.57
499,44278.57
500,44278.57
501,44278.57
502,44278.57
503,44278.58
504,44278.58
505,44278.58
506,44278.58
507,44278.58
508,44278.58
509,44278.58
510,44278.59
511,44278.59
512,44278.59
513,44278.6
514,44278.6
515,44278.6
516,44278.6
517,44278.6
518,44278.6
519,44278.61
520,44278.61
521,44278.61
522,44278.61
523,44278.62
524,44278.62
525,44278.62
526,44278.62
527,44278.62
528,44278.62
529,44278.63
530,44278.63
531,44278.63
532,44278.63
533,44278.64
534,44278.64
535,44278.64
536,44278.64
537,44278.64
538,44278.64
539,44278.65
540,44278.65
541,44278.65
542,44278.65
543,44278.66
544,44278.66
545,44278.66
546,44278.66
547,44278.66
548,44278.66
549,44278.67
550,44278.67
551,44278.67
552,44278.67
553,44278.67
554,44278.68
555,44278.68
556,44278.68
557,44278.68
558,44278.69
559,44278.69
560,44278.69
561,44278.69
562,44278.69
563,44278.69
564,44278.7
565,44278.7
566,44278.7
567,44278.7
568,44278.71
569,44278.71
570,44278.71
571,44278.71
572,44278.71
573,44278.71
574,44278.72
575,44278.72
576,44278.72
577,44278.72
578,44278.73
579,44278.73
580,44278.73
581,44278.73
582,44278.73
583,44278.73
584,44278.74
585,44278.74
586,44278.74
587,44278.75
588,44278.75
589,44278.75
590,44278.75
591,44278.75
592,44278.75
593,44278.75
594,44278.76
595,44278.76
596,44278.76
597,44278.76
598,44278.76
599,44278.76
600,44278.77
601,44278.77
602,44278.77
603,44278.77
604,44278.78
605,44278.78
606,44278.78
607,44278.78
608,44278.78
609,44278.78
610,44278.79
611,44278.79
612,44278.79
613,44278.79
614,44278.8
615,44278.8
616,44278.8
617,44278.8
618,44278.8
619,44278.8
620,44278.81
621,44278.81
622,44278.81
623,44278.81
624,44278.82
625,44278.82
626,44278.82
627,44278.82
628,44278.82
629,44278.83
630,44278.83
631,44278.83
632,44278.83
633,44278.83
634,44278.83
635,44278.84
636,44278.84
637,44278.84
638,44278.84
639,44278.85
640,44278.85
641,44278.85
642,44278.85
643,44278.85
644,44278.85
645,44278.86
646,44278.86
647,44278.86
648,44278.86
649,44278.87
650,44278.87
651,44278.87
652,44278.87
653,44278.87
654,44278.87
655,44278.88
656,44278.88
657,44278.88
658,44278.88
659,44278.89
660,44278.89
661,44278.89
662,44278.89
663,44278.89
664,44278.89
665,44278.9
666,44278.9
667,44278.9
668,44278.91
669,44278.91
670,44278.91
671,44278.91
672,44278.91
673,44278.91
674,44278.91
675,44278.92
676,44278.92
677,44278.92
678,44278.92
679,44278.92
680,44278.93
681,44278.93
682,44278.93
683,44278.93
684,44278.94
685,44278.94
686,44278.94
687,44278.94
688,44278.94
689,44278.94
690,44278.95
691,44278.95
692,44278.95
693,44278.95
694,44278.96
695,44278.96
696,44278.96
697,44278.96
698,44278.96
699,44278.96
700,44278.97
701,44278.97
702,44278.97
703,44278.97
704,44278.98
705,44278.98
706,44278.98
707,44278.98
708,44278.98
709,44278.98
710,44278.99
711,44278.99
712,44278.99
713,44278.99
714,44279.0
715,44279.0
716,44279.0
717,44279.0
718,44279.0
719,44279.01
720,44279.01
721,44279.01
722,44279.01
723,44279.01
724,44279.01
725,44279.02
726,44279.02
727,44279.02
728,44279.02
729,44279.03
730,44279.03
731,44279.03
732,44279.03
733,44279.03
734,44279.03
735,44279.04
736,44279.04
737,44279.04
