row_index,WTUR.CTim.Wt.F32.WindValid
1059,27799.45
1060,27799.45
1061,27799.45
1062,27799.46
1063,27799.46
1064,27799.46
1065,27799.46
1066,27799.46
1067,27799.47
1068,27799.47
1069,27799.47
1070,27799.47
1071,27799.47
1072,27799.48
1073,27799.48
1074,27799.48
1075,27799.48
1076,27799.48
1077,27799.49
1078,27799.49
1079,27799.49
1080,27799.49
1081,27799.49
1082,27799.5
1083,27799.5
1084,27799.5
1085,27799.5
1086,27799.5
1087,27799.51
1088,27799.51
1089,27799.51
1090,27799.51
1091,27799.51
1092,27799.51
1093,27799.52
1094,27799.52
1095,27799.52
1096,27799.52
1097,27799.52
1098,27799.53
1099,27799.53
1100,27799.53
1101,27799.53
1102,27799.53
1103,27799.54
1104,27799.54
1105,27799.54
1106,27799.54
1107,27799.54
1108,27799.55
1109,27799.55
1110,27799.55
1111,27799.55
1112,27799.55
1113,27799.56
1114,27799.56
1115,27799.56
1116,27799.56
1117,27799.56
1118,27799.57
1119,27799.57
1120,27799.57
1121,27799.57
1122,27799.57
1123,27799.58
1124,27799.58
1125,27799.58
1126,27799.58
1127,27799.58
1128,27799.59
1129,27799.59
1130,27799.59
1131,27799.59
1132,27799.59
1133,27799.6
1134,27799.6
1135,27799.6
1136,27799.6
1137,27799.6
1138,27799.61
1139,27799.61
1140,27799.61
1141,27799.61
1142,27799.61
1143,27799.62
1144,27799.62
1145,27799.62
1146,27799.62
1147,27799.62
1148,27799.63
1149,27799.63
1150,27799.63
1151,27799.63
1152,27799.63
1153,27799.64
1154,27799.64
1155,27799.64
1156,27799.64
1157,27799.64
1158,27799.65
1159,27799.65
1160,27799.65
1161,27799.65
1162,27799.65
1163,27799.66
1164,27799.66
1165,27799.66
1166,27799.66
1167,27799.66
1168,27799.67
1169,27799.67
1170,27799.67
1171,27799.67
1172,27799.67
1173,27799.68
1174,27799.68
1175,27799.68
1176,27799.68
1177,27799.68
1178,27799.68
1179,27799.69
1180,27799.69
1181,27799.69
1182,27799.69
1183,27799.69
1184,27799.7
1185,27799.7
1186,27799.7
1187,27799.7
1188,27799.7
1189,27799.71
1190,27799.71
1191,27799.71
1192,27799.71
1193,27799.71
1194,27799.72
1195,27799.72
1196,27799.72
1197,27799.72
1198,27799.72
1199,27799.73
1200,27799.73
1201,27799.73
1202,27799.73
1203,27799.73
1204,27799.74
1205,27799.74
1206,27799.74
1207,27799.74
1208,27799.74
1209,27799.75
1210,27799.75
1211,27799.75
1212,27799.75
1213,27799.75
1214,27799.76
1215,27799.76
1216,27799.76
1217,27799.76
1218,27799.76
1219,27799.77
1220,27799.77
1221,27799.77
1222,27799.77
1223,27799.77
1224,27799.78
1225,27799.78
1226,27799.78
1227,27799.78
1228,27799.78
1229,27799.79
1230,27799.79
